ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR
Dominican Republic,2020-04-01T00:00:00.000Z,1284,57,85407,-70.48543447,18.89309386,Dominican Republic,多米尼加 ,République dominicaine,República Dominicana,Доминиканская Республика,الجمهورية الدومينيكية
Mexico,2020-04-01T00:00:00.000Z,1215,29,85408,-102.5349909,23.95092841,Mexico,墨西哥,Mexique,México,Мексика,المكسيك
Panama,2020-04-01T00:00:00.000Z,1181,30,85409,-80.10906884,8.50544318,Panama,巴拿马,Panama,Panamá,Панама,بنما
Argentina,2020-04-01T00:00:00.000Z,1054,27,85410,-65.16748474,-35.37667253,Argentina,阿根廷 ,Argentine,Argentina,Аргентина,الأرجنتين
Colombia,2020-04-01T00:00:00.000Z,906,16,85411,-73.07576335,3.90037401,Colombia,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
Costa Rica,2020-04-01T00:00:00.000Z,347,2,85412,-84.18903867,9.97052135,Costa Rica,哥斯达黎加,Costa Rica,Costa Rica,Коста-Рика,كوستاريكا
Uruguay,2020-04-01T00:00:00.000Z,338,2,85413,-56.01217362,-32.79956992,Uruguay,乌拉圭,Uruguay,Uruguay,Уругвай,أوروغواي
Puerto Rico,2020-04-01T00:00:00.000Z,286,11,85414,-66.46612748,18.22093074,Puerto Rico,"波多黎各
",,,,
Cuba,2020-04-01T00:00:00.000Z,212,6,85415,-79.0381998,21.62142096,Cuba,古巴,Cuba,Cuba,Куба,كوبا
Honduras,2020-04-01T00:00:00.000Z,172,10,85416,-86.61965899,14.81934813,Honduras,洪都拉斯,Honduras,Honduras,Гондурас,هندوراس
Venezuela (Bolivarian Republic of),2020-04-01T00:00:00.000Z,143,3,85417,-66.16621515,7.12493711,Venezuela (Bolivarian Republic of),委内瑞拉(玻利瓦尔共和国),Venezuela (République bolivarienne du),Venezuela (República Bolivariana de),Венесуэла (Боливарианская Республика),فنزويلا
Martinique,2020-04-01T00:00:00.000Z,128,3,85418,-61.02147382,14.65277419,Martinique,"马提尼克岛
",,,,
Guadeloupe,2020-04-01T00:00:00.000Z,125,6,85419,-61.53039242,16.20126357,Guadeloupe,"瓜德罗普岛
",,,,
Bolivia (Plurinational State of),2020-04-01T00:00:00.000Z,115,7,85420,-64.67054847,-16.71510989,Bolivia (Plurinational State of),玻利维亚（多民族国）,Bolivie (État plurinational de),Bolivia (Estado Plurinacional de)  ,Боливия (Многонациональное Государство),بوليفيا (دولة - المتعددة القوميات)
Trinidad and Tobago,2020-04-01T00:00:00.000Z,89,5,85421,-61.25263722,10.46836429,Trinidad and Tobago,特立尼达和多巴哥,Trinité-et-Tobago,Trinidad y Tabago,Тринидад и Тобаго ,ترينيداد وتوباغو
Paraguay,2020-04-01T00:00:00.000Z,69,3,85422,-58.39095178,-23.23612887,Paraguay,巴拉圭,Paraguay,Paraguay,Парагвай,باراغواي
Aruba,2020-04-01T00:00:00.000Z,55,0,85423,-69.97713313,12.51668736,Aruba,"阿鲁巴
",,,,
French Guiana,2020-04-01T00:00:00.000Z,51,0,85424,-53.24126696,3.9243882,French Guiana,"法属圭亚那
",,,,
Guatemala,2020-04-01T00:00:00.000Z,39,1,85425,-90.3569493,15.7023026,Guatemala,危地马拉,Guatemala,Guatemala,Гватемала,غواتيمالا
Jamaica,2020-04-01T00:00:00.000Z,38,1,85426,-77.31975081,18.15133064,Jamaica,牙买加,Jamaïque,Jamaica,Ямайка,جامايكا
Barbados,2020-04-01T00:00:00.000Z,33,0,85427,-59.56212696,13.17879902,Barbados,巴巴多斯,Barbade,Barbados,Барбадос,بربادوس
Bermuda,2020-04-01T00:00:00.000Z,32,0,85428,-64.75637722,32.31349498,Bermuda,"百慕大
",,,,
El Salvador,2020-04-01T00:00:00.000Z,32,1,85429,-88.86560674,13.73614532,El Salvador,萨尔瓦多,El Salvador,El Salvador,Сальвадор,السلفادور
United States Virgin Islands,2020-04-01T00:00:00.000Z,30,0,85430,-64.78692721,17.9678899,United States Virgin Islands,"美属维尔京群岛
",,,,
Saint Martin,2020-04-01T00:00:00.000Z,21,2,85431,-63.06457229,18.0876049,Saint Martin,"圣马丁岛
",,,,
Guyana,2020-04-01T00:00:00.000Z,19,2,85432,-58.97416349,4.79237827,Guyana,圭亚那,Guyana,Guyana,Гайана,غيانا
Haiti,2020-04-01T00:00:00.000Z,16,0,85433,-72.68358014,18.93900136,Haiti,海地,Haïti,Haití,Гаити,هايتي
Bahamas,2020-04-01T00:00:00.000Z,15,0,85434,-76.5004385,24.1666829,Bahamas,巴哈马,Bahamas,Bahamas,Багамские Острова,جزر البهاما
Cayman Islands,2020-04-01T00:00:00.000Z,14,1,85435,-80.82909683,19.431525,Cayman Islands,"开曼群岛
",,,,
